i,similarity_value,model_name
6601,0.84636724,ViT-L-14
6651,0.84693456,ViT-L-14
6701,0.8468118,ViT-L-14
6751,0.8466418,ViT-L-14
6801,0.8469414,ViT-L-14
6851,0.8464613,ViT-L-14
6901,0.84558076,ViT-L-14
6951,0.8452002,ViT-L-14
7001,0.8448728,ViT-L-14
7051,0.8443579,ViT-L-14
7101,0.8452282,ViT-L-14
7151,0.8464086,ViT-L-14
7201,0.8467726,ViT-L-14
7251,0.84695625,ViT-L-14
7301,0.84639263,ViT-L-14
7351,0.84622633,ViT-L-14
7401,0.8478972,ViT-L-14
7451,0.84763455,ViT-L-14
7501,0.8471739,ViT-L-14
7551,0.84679496,ViT-L-14
7601,0.84700805,ViT-L-14
7651,0.8473418,ViT-L-14
7701,0.8473382,ViT-L-14
7751,0.8480064,ViT-L-14
7801,0.847539,ViT-L-14
7851,0.8468357,ViT-L-14
7901,0.8469972,ViT-L-14
7951,0.84729785,ViT-L-14
8001,0.84847254,ViT-L-14
8051,0.84896106,ViT-L-14
8101,0.84818065,ViT-L-14
8151,0.8482082,ViT-L-14
8201,0.8484293,ViT-L-14
8251,0.84853226,ViT-L-14
8301,0.8476991,ViT-L-14
8351,0.84753174,ViT-L-14
8401,0.8489604,ViT-L-14
8451,0.84711426,ViT-L-14
8501,0.84744084,ViT-L-14
8551,0.84842795,ViT-L-14
8601,0.8483261,ViT-L-14
8651,0.8477435,ViT-L-14
8701,0.8476038,ViT-L-14
8751,0.8476142,ViT-L-14
8801,0.84789413,ViT-L-14
8851,0.84750235,ViT-L-14
8901,0.84690976,ViT-L-14
8951,0.8467369,ViT-L-14
9001,0.84712344,ViT-L-14
9051,0.8473882,ViT-L-14
9101,0.8463844,ViT-L-14
9151,0.8457007,ViT-L-14
9201,0.84654003,ViT-L-14
9251,0.84751356,ViT-L-14
9301,0.8467431,ViT-L-14
9351,0.8476825,ViT-L-14
9401,0.84780055,ViT-L-14
9451,0.84747756,ViT-L-14
9501,0.84710073,ViT-L-14
9551,0.84665716,ViT-L-14
9601,0.8460314,ViT-L-14
9651,0.84524786,ViT-L-14
9701,0.8453992,ViT-L-14
9751,0.84464705,ViT-L-14
9801,0.8450496,ViT-L-14
9851,0.8452579,ViT-L-14
9901,0.84415746,ViT-L-14
9951,0.844002,ViT-L-14
10001,0.8420417,ViT-L-14
10051,0.84340405,ViT-L-14
10101,0.84368366,ViT-L-14
10151,0.8439068,ViT-L-14
10201,0.84315646,ViT-L-14
10251,0.8439958,ViT-L-14
10301,0.8440596,ViT-L-14
10351,0.8444167,ViT-L-14
10401,0.84486425,ViT-L-14
10451,0.8451385,ViT-L-14
10501,0.84471446,ViT-L-14
10551,0.84480137,ViT-L-14
10601,0.84447324,ViT-L-14
10651,0.8441433,ViT-L-14
10701,0.844945,ViT-L-14
10751,0.84512854,ViT-L-14
10801,0.8456175,ViT-L-14
10851,0.8462711,ViT-L-14
10901,0.84665835,ViT-L-14
10951,0.8463172,ViT-L-14
11001,0.8472325,ViT-L-14
11051,0.8467955,ViT-L-14
11101,0.846869,ViT-L-14
11151,0.84678805,ViT-L-14
11201,0.84708416,ViT-L-14
11251,0.84693795,ViT-L-14
11301,0.8468087,ViT-L-14
11351,0.8462379,ViT-L-14
11401,0.84593403,ViT-L-14
11451,0.84559035,ViT-L-14
11501,0.8459983,ViT-L-14
11551,0.8459277,ViT-L-14
11601,0.8458019,ViT-L-14
11651,0.84587467,ViT-L-14
11701,0.8456914,ViT-L-14
11751,0.8450851,ViT-L-14
11801,0.84452635,ViT-L-14
11851,0.84420764,ViT-L-14
11901,0.84407425,ViT-L-14
11951,0.8452406,ViT-L-14
12001,0.84534675,ViT-L-14
12051,0.84479064,ViT-L-14
12101,0.8442586,ViT-L-14
12151,0.8436688,ViT-L-14
12201,0.8434481,ViT-L-14
12251,0.8434326,ViT-L-14
12301,0.8434161,ViT-L-14
12351,0.8449992,ViT-L-14
12401,0.84504455,ViT-L-14
12451,0.84463036,ViT-L-14
12501,0.8449225,ViT-L-14
12551,0.8452685,ViT-L-14
12601,0.84524435,ViT-L-14
12651,0.8452612,ViT-L-14
12701,0.8452711,ViT-L-14
12751,0.8453349,ViT-L-14
12801,0.8447437,ViT-L-14
12851,0.8457852,ViT-L-14
12901,0.84560925,ViT-L-14
12951,0.8459697,ViT-L-14
1,0.244865,ViT-B-32
51,0.46333206,ViT-B-32
101,0.3321638,ViT-B-32
151,0.3196298,ViT-B-32
201,0.34289724,ViT-B-32
251,0.30406684,ViT-B-32
301,0.6287546,ViT-B-32
351,0.6215453,ViT-B-32
401,0.6056951,ViT-B-32
451,0.55483264,ViT-B-32
501,0.43159667,ViT-B-32
551,0.6100776,ViT-B-32
601,0.60625017,ViT-B-32
651,0.61188257,ViT-B-32
701,0.61918795,ViT-B-32
751,0.6071031,ViT-B-32
801,0.6339426,ViT-B-32
851,0.64975595,ViT-B-32
901,0.66750944,ViT-B-32
951,0.6646786,ViT-B-32
1001,0.67589915,ViT-B-32
1051,0.68470716,ViT-B-32
1101,0.68784,ViT-B-32
1151,0.6892035,ViT-B-32
1201,0.69509697,ViT-B-32
1251,0.7039132,ViT-B-32
1301,0.7105981,ViT-B-32
1351,0.7146124,ViT-B-32
1401,0.712886,ViT-B-32
1451,0.7157224,ViT-B-32
1501,0.7229136,ViT-B-32
1551,0.76254714,ViT-B-32
1601,0.76362693,ViT-B-32
1651,0.76254404,ViT-B-32
1701,0.7570081,ViT-B-32
1751,0.7564583,ViT-B-32
1801,0.7545686,ViT-B-32
1851,0.7576647,ViT-B-32
1901,0.75610816,ViT-B-32
1951,0.76059777,ViT-B-32
2001,0.76166654,ViT-B-32
2051,0.7598049,ViT-B-32
2101,0.7612796,ViT-B-32
2151,0.76201785,ViT-B-32
2201,0.7602087,ViT-B-32
2251,0.76169604,ViT-B-32
2301,0.7603135,ViT-B-32
2351,0.75988185,ViT-B-32
2401,0.76261353,ViT-B-32
2451,0.75632334,ViT-B-32
2501,0.75273323,ViT-B-32
2551,0.7516059,ViT-B-32
2601,0.75340563,ViT-B-32
2651,0.7547875,ViT-B-32
2701,0.7566251,ViT-B-32
2751,0.75794214,ViT-B-32
2801,0.75459754,ViT-B-32
2851,0.75197434,ViT-B-32
2901,0.7500684,ViT-B-32
2951,0.750036,ViT-B-32
3001,0.74080515,ViT-B-32
3051,0.7412142,ViT-B-32
3101,0.74166733,ViT-B-32
3151,0.74777144,ViT-B-32
3201,0.74768174,ViT-B-32
3251,0.7611325,ViT-B-32
3301,0.7632239,ViT-B-32
3351,0.7641742,ViT-B-32
3401,0.7653364,ViT-B-32
3451,0.7654413,ViT-B-32
3501,0.7636715,ViT-B-32
3551,0.76459765,ViT-B-32
3601,0.7648407,ViT-B-32
3651,0.7633845,ViT-B-32
3701,0.763287,ViT-B-32
3751,0.7636814,ViT-B-32
3801,0.7631978,ViT-B-32
3851,0.7643863,ViT-B-32
3901,0.76356983,ViT-B-32
3951,0.7655611,ViT-B-32
4001,0.7646457,ViT-B-32
4051,0.7654644,ViT-B-32
4101,0.7653718,ViT-B-32
4151,0.7648865,ViT-B-32
4201,0.7642931,ViT-B-32
4251,0.7579997,ViT-B-32
4301,0.75940925,ViT-B-32
4351,0.76031053,ViT-B-32
4401,0.75929993,ViT-B-32
4451,0.7586496,ViT-B-32
4501,0.75867087,ViT-B-32
4551,0.75987816,ViT-B-32
4601,0.7621091,ViT-B-32
4651,0.76152855,ViT-B-32
4701,0.76112485,ViT-B-32
4751,0.7601495,ViT-B-32
4801,0.7617463,ViT-B-32
4851,0.76092315,ViT-B-32
4901,0.7613713,ViT-B-32
4951,0.7612922,ViT-B-32
5001,0.7597387,ViT-B-32
5051,0.7596931,ViT-B-32
5101,0.75856507,ViT-B-32
5151,0.75965285,ViT-B-32
5201,0.75675577,ViT-B-32
5251,0.7560139,ViT-B-32
5301,0.7562831,ViT-B-32
5351,0.75483197,ViT-B-32
5401,0.7542008,ViT-B-32
